buss_no,fiscalyear,balancebf,current_balance,totalamountdue,transdate,electoralarea,assessmentby,buss_type
2602,2017,0,180,180,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
2607,2017,-40,180,140,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
2638,2017,18,60,78,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
2657,2017,90,120,210,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
834,2017,90,300,390,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
839,2017,390,300,690,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
843,2017,-80,300,220,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
846,2017,114,84,198,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
859,2017,240,300,540,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
1534,2017,240,180,420,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
1535,2017,72,36,108,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
2084,2017,0,300,300,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,K.G to J.H.S.
2420,2017,8,60,68,2017-12-31 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
1098,2018,92,60,152,2018-04-10 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
1100,2018,78,120,198,2018-04-10 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
1114,2018,96,120,216,2018-04-10 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
1132,2018,240,120,360,2018-04-10 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
1145,2018,36,120,156,2018-04-10 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
1174,2018,250,120,370,2018-04-10 00:00:00.000,SALTPOND,supervisor,Provision Store
705,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
706,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
707,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Tailors
708,2015,0,300,300,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Large Scale Restaurants
709,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
710,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
711,2015,67,36,103,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
712,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
713,2015,120,120,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Cement Shops
714,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
715,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Cement Shops
716,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Consultants
717,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
718,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
719,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpentry 
720,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
721,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
722,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
723,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
724,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Medium Fitting Shop
725,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
726,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Comm. Centre/Secretarial Services
727,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
728,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
729,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
731,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Barber
730,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
732,2015,0,400,400,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
733,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
735,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
736,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
734,2015,180,180,360,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Retail Pharmacy Shop
737,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
738,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
739,2015,114,72,186,2015-01-01 00:00:00.000,MANKESSIM,supervisor,TV & Electrical Appliance               Category  
740,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
741,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
742,2015,660,240,900,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
743,2015,0,240,240,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Rice/flour/sugar dealers
744,2015,840,240,1080,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
745,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
746,2015,0,180,180,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Small Spare Parts Shop
747,2015,400,400,800,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
748,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
749,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
750,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
751,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
752,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
753,2015,0,180,180,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
754,2015,0,240,240,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
757,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
758,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
755,2015,0,720,720,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Fuel Filling & Serv. Station
756,2015,0,180,180,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Chemical sellers (Big)
759,2015,0,300,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
760,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
761,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
762,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
763,2015,0,72,72,2015-01-01 00:00:00.000,ANOMABO,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
764,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
765,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
766,2015,0,400,400,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Hospitality/Guests/Hotel/Motel Business Class A
767,2015,0,1080,720,2015-01-01 00:00:00.000,CORPORATE INSTITUTIONS,supervisor,Fuel Filling & Serv. Station
768,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
769,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
770,2015,0,48,48,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
771,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
772,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
773,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
774,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
775,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
776,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
777,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
778,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
779,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
780,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
781,2015,0,50,864,2015-01-01 00:00:00.000,SALTPOND,supervisor,Corn Millers:     Cat. B - 1 Mill 
782,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,GENERAL GOODS
783,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
784,2015,60,60,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
785,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
786,2015,35,72,107,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
787,2015,0,120,120,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
788,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Provision Store
789,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
790,2015,0,72,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
791,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
792,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
793,2015,36,36,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
794,2015,36,36,72,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
795,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
796,2015,0,864,864,2015-01-01 00:00:00.000,SALTPOND,supervisor,Corn Millers:     Cat. B - 1 Mill 
797,2015,0,864,864,2015-01-01 00:00:00.000,SALTPOND,supervisor,Corn Millers:     Cat. B - 1 Mill 
798,2015,0,864,864,2015-01-01 00:00:00.000,SALTPOND,supervisor,Corn Millers:     Cat. B - 1 Mill 
799,2015,0,72,864,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
800,2015,15,72,87,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Provision Store
801,2015,86,48,134,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Cement Shops
802,2015,180,100,280,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
803,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
804,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
805,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Rice/flour/sugar dealers
806,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Wax Print Dealers/Materials    Category     A
807,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
808,2015,0,72,864,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
809,2015,0,72,864,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
810,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
811,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
812,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
813,2015,0,72,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
814,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
815,2015,0,72,864,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Corn Millers:     Cat. B - 1 Mill 
816,2015,30,60,90,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
817,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Beer / Wine / Spirit Sellers
818,2015,0,60,60,2015-01-01 00:00:00.000,SALTPOND,supervisor,Photo Laboratory/Studio
819,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Tailors
820,2015,108,36,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
821,2015,36,36,72,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
822,2015,0,60,60,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Beer / Wine / Spirit Sellers
823,2015,0,180,180,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Chemical sellers (Big)
824,2015,62,36,98,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
825,2015,0,180,180,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Small Spare Parts Shop
826,2015,0,48,48,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Kente Weaver/Electricians/Wireless/tv repaires
827,2015,0,36,36,2015-01-01 00:00:00.000,SALTPOND,supervisor,Seamstress & Hairdressers with other Facilities 
828,2015,0,100,100,2015-01-01 00:00:00.000,MANKESSIM,supervisor,GENERAL GOODS
829,2015,0,120,120,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Comm. Centre/Secretarial Services
830,2015,72,72,144,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
831,2015,0,36,36,2015-01-01 00:00:00.000,MANKESSIM,supervisor,Seamstress & Hairdressers with other Facilities 
832,2015,0,300,300,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Large Scale Restaurants
833,2015,0,84,84,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
834,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
835,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
836,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
837,2015,0,72,72,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
838,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Materials
839,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
840,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Mega Mall (Eg. Jessica
841,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
842,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Consultants
843,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
844,2015,0,160,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Materials
845,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
846,2015,0,72,72,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
847,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,HARD WARE
848,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
849,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
850,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
851,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
852,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
853,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Hard-Ware 
854,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
855,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
856,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
857,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
858,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Refrigerator/Phone/Generators Repaires
859,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
860,2015,0,288,288,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Flour Millers 
861,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
862,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
863,2015,0,72,72,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
864,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
865,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
866,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
867,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
868,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
869,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
870,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
871,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
872,2015,0,500,500,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Rural Banks 
873,2015,120,120,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Cement Shops
874,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
875,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
876,2015,0,120,120,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,BEER WINE
877,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,TV & Electrical Appliance (Lawyer Enchil & Kama et
878,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
879,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
880,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Video Camera operators
881,2015,0,360,360,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
882,2015,0,100,864,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Corn Millers:     Cat. B - 1 Mill 
883,2015,0,0,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Seamstress & Hairdressers with other Facilities 
884,2015,0,180,180,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
885,2015,0,180,180,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Chemical sellers (Big)
886,2015,0,120,80,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
887,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,GENERAL GOODS
888,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
889,2015,0,240,240,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Provision Store
890,2015,0,60,60,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Beer / Wine / Spirit Sellers
891,2015,0,36,36,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
892,2015,0,100,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
893,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Medium Fitting Shop
894,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
895,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
896,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
897,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
898,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Medium Fitting Shop
899,2015,0,48,48,2015-01-01 00:00:00.000,YAMORANSA/EGUASE,supervisor,Kente Weaver/Electricians/Wireless/tv repaires
900,2015,0,120,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Canopy/Chairs Hiring
901,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
902,2015,0,48,48,2015-01-01 00:00:00.000,ANOMABO,supervisor,Akpeteshie Sellers
903,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
904,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
905,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
906,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Materials
907,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
908,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Refrigerator/Phone/Generators Repaires
909,2015,0,72,72,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
910,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
911,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
912,2015,40,240,280,2015-01-01 00:00:00.000,ANOMABO,supervisor,Cement Shops
913,2015,0,60,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
914,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
915,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Refrigerator/Phone/Generators Repaires
916,2015,0,100,180,2015-01-01 00:00:00.000,ANOMABO,supervisor,Cassette/DVD/CD Sellers
917,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
918,2015,0,180,180,2015-01-01 00:00:00.000,RESTAURANT/CHOP BAR/CANTEEN,supervisor,Chop Bar/Fast food Joint
919,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Seamstress & Hairdressers with other Facilities 
920,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
921,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
922,2015,0,60,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
923,2015,0,100,100,2015-01-01 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
924,2015,0,180,180,2015-01-01 00:00:00.000,ANOMABO,supervisor,Chemical sellers (Big)
925,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
926,2015,0,180,100,2015-01-01 00:00:00.000,ANOMABO,supervisor,GENERAL GOODS
927,2015,0,0,60,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
928,2015,0,120,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
929,2015,0,240,240,2015-01-01 00:00:00.000,ANOMABO,supervisor,Provision Store
930,2015,0,36,36,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
931,2015,72,36,108,2015-01-01 00:00:00.000,ANOMABO,supervisor,Carpenters/Welders/Fitters/Mason/Tailors
932,2015,0,140,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Comm. Centre/Secretarial Services
933,2015,60,60,120,2015-01-01 00:00:00.000,ANOMABO,supervisor,Beer / Wine / Spirit Sellers
