buss_no,officer_no,paidamount,monthpaid,transdate,fiscal_year,receiptno,electroral_area,buss_type,email
2125,1,36,October,2016-09-07 00:00:00.000,2016,2953188,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
213,1,20,October,2016-10-21 00:00:00.000,2016,2951594,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
214,1,6,November,2016-11-02 00:00:00.000,2016,2955608,MANKESSIM,Provision Store,
217,1,16,November,2016-11-29 00:00:00.000,2016,2955634,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
220,1,10,November,2016-11-02 00:00:00.000,2016,2955607,MANKESSIM,Pure Water Distributors ,
221,1,10,November,2016-11-18 00:00:00.000,2016,2955628,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
222,1,46,January,2015-01-31 00:00:00.000,2016,2951575,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
2232,1,20,October,2016-09-07 00:00:00.000,2016,2955517,MANKESSIM,GENERAL GOODS,
2247,1,10,October,2016-10-26 00:00:00.000,2016,2954239,MANKESSIM,COOKING UTENCILS,
2248,1,8,December,2016-12-10 00:00:00.000,2016,2961020,MANKESSIM,Materials,
2251,1,20,October,2016-10-26 00:00:00.000,2016,2954233,MANKESSIM,COSMECTICS,
2253,1,12,November,2016-11-19 00:00:00.000,2016,2955770,MANKESSIM,GENERAL GOODS,
2258,1,21,October,2016-10-26 00:00:00.000,2016,2954236,MANKESSIM,GENERAL GOODS,
2258,1,21,December,2016-12-21 00:00:00.000,2016,2961073,MANKESSIM,GENERAL GOODS,
2259,1,21,October,2016-10-26 00:00:00.000,2016,2954235,MANKESSIM,Wax Print Dealers/Materials    Category     A,
2259,1,21,December,2016-12-21 00:00:00.000,2016,2961074,MANKESSIM,Wax Print Dealers/Materials    Category     A,
2262,1,12,November,2016-11-01 00:00:00.000,2016,2954263,MANKESSIM,GENERAL GOODS,
2262,1,10,November,2016-11-02 00:00:00.000,2016,2954265,MANKESSIM,GENERAL GOODS,
2262,1,10,December,2016-12-22 00:00:00.000,2016,2961094,MANKESSIM,GENERAL GOODS,
2266,1,10,November,2016-11-19 00:00:00.000,2016,2955759,MANKESSIM,Book/Stationery Stores,
2267,1,10,November,2016-11-10 00:00:00.000,2016,2955728,MANKESSIM,Wax Print Dealers/Materials    Category     A,
2269,1,50,July,2016-07-29 00:00:00.000,2016,2950510,MANKESSIM,GENERAL GOODS,
2269,1,12,November,2016-11-25 00:00:00.000,2016,2955777,MANKESSIM,GENERAL GOODS,
2269,1,7,December,2016-12-22 00:00:00.000,2016,2961089,MANKESSIM,GENERAL GOODS,
227,1,16,December,2016-12-19 00:00:00.000,2016,2955656,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
2280,1,14,November,2016-11-01 00:00:00.000,2016,2954259,MANKESSIM,CLOTHINGS (2ND HAND ETC),
2280,1,15,January,2016-12-21 00:00:00.000,2016,2961084,MANKESSIM,CLOTHINGS (2ND HAND ETC),
2289,1,10,November,2016-11-09 00:00:00.000,2016,2955703,MANKESSIM,GENERAL GOODS,
2291,1,24,October,2016-09-21 00:00:00.000,2016,2953825,MANKESSIM,CLOTHINGS (2ND HAND ETC),
2291,1,10,October,2016-10-26 00:00:00.000,2016,2954230,MANKESSIM,CLOTHINGS (2ND HAND ETC),
2291,1,10,November,2016-11-16 00:00:00.000,2016,2955742,MANKESSIM,CLOTHINGS (2ND HAND ETC),
2294,1,17,December,2016-12-21 00:00:00.000,2016,2961081,MANKESSIM,GENERAL GOODS,
2298,1,10,November,2016-11-19 00:00:00.000,2016,2955758,MANKESSIM,FOOTWARES,
2298,1,10,December,2016-12-10 00:00:00.000,2016,2961008,MANKESSIM,FOOTWARES,
2298,1,10,December,2016-12-10 00:00:00.000,2016,2961009,MANKESSIM,FOOTWARES,
2299,1,20,November,2016-11-25 00:00:00.000,2016,2955793,MANKESSIM,TOILETRIES,
2300,1,10,November,2016-11-16 00:00:00.000,2016,2955743,MANKESSIM,Wax Print Dealers/Materials    Category     A,
2300,1,14,December,2016-12-22 00:00:00.000,2016,2961090,MANKESSIM,Wax Print Dealers/Materials    Category     A,
231,1,10,October,2016-10-21 00:00:00.000,2016,2951587,MANKESSIM,Provision Store,
231,1,30,December,2016-12-05 00:00:00.000,2016,2955642,MANKESSIM,Provision Store,
237,1,10,November,2016-11-18 00:00:00.000,2016,2960156,MANKESSIM,MATERIALS,
237,1,10,December,2016-12-23 00:00:00.000,2016,2957102,MANKESSIM,MATERIALS,
238,1,6,October,2016-10-06 00:00:00.000,2016,2953723,MANKESSIM,Book/Stationery Stores,
238,1,8,December,2016-12-15 00:00:00.000,2016,2960189,MANKESSIM,Book/Stationery Stores,
239,1,7,December,2016-12-30 00:00:00.000,2016,2957133,MANKESSIM,Provision Store,
241,1,10,December,2016-12-15 00:00:00.000,2016,2960196,MANKESSIM,Provision Store,
244,1,10,November,2016-11-02 00:00:00.000,2016,2953847,MANKESSIM,Book/Stationery Stores,
244,1,10,November,2016-11-15 00:00:00.000,2016,2953865,MANKESSIM,Book/Stationery Stores,
248,1,10,October,2016-10-19 00:00:00.000,2016,2953740,MANKESSIM,GENERAL GOODS,
248,1,10,November,2016-11-11 00:00:00.000,2016,2960101,MANKESSIM,GENERAL GOODS,
248,1,10,December,2016-12-01 00:00:00.000,2016,2960163,MANKESSIM,GENERAL GOODS,
248,1,10,December,2016-12-30 00:00:00.000,2016,2957122,MANKESSIM,GENERAL GOODS,
2503,1,16,July,2016-07-29 00:00:00.000,2016,2950516,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
252,1,6,October,2016-10-06 00:00:00.000,2016,2953735,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
255,1,6,October,2016-10-06 00:00:00.000,2016,2953714,MANKESSIM,Provision Store,
256,1,6,October,2016-10-06 00:00:00.000,2016,2953712,MANKESSIM,Provision Store,
256,1,6,October,2016-10-21 00:00:00.000,2016,2953763,MANKESSIM,Provision Store,
256,1,6,November,2016-11-03 00:00:00.000,2016,2953786,MANKESSIM,Provision Store,
257,1,6,November,2016-11-18 00:00:00.000,2016,2960149,MANKESSIM,Materials,
257,1,12,December,2016-12-30 00:00:00.000,2016,2957139,MANKESSIM,Materials,
258,1,10,January,2015-01-31 00:00:00.000,2016,2960150,MANKESSIM,GENERAL GOODS,
258,1,10,October,2016-10-06 00:00:00.000,2016,2953706,MANKESSIM,GENERAL GOODS,
259,1,30,November,2016-11-02 00:00:00.000,2016,2951600,MANKESSIM,Chemical sellers (Big),
259,1,15,December,2016-12-05 00:00:00.000,2016,2955639,MANKESSIM,Chemical sellers (Big),
2599,2,20,January,2016-01-06 00:00:00.000,2016,311681,YAMORANSA/EGUASE,GENERAL GOODS,
260,1,12,October,2016-10-06 00:00:00.000,2016,2953734,SALTPOND,Materials,
260,1,6,December,2016-12-23 00:00:00.000,2016,2957109,SALTPOND,Materials,
2600,2,20,January,2016-01-06 00:00:00.000,2016,311682,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2601,2,60,January,2016-01-06 00:00:00.000,2016,311685,YAMORANSA/EGUASE,GENERAL GOODS,
2602,2,180,January,2016-01-06 00:00:00.000,2016,311686,YAMORANSA/EGUASE,GENERAL GOODS,
2603,2,100,January,2016-01-06 00:00:00.000,2016,311687,YAMORANSA/EGUASE,GENERAL GOODS,
2604,2,56,January,2016-01-06 00:00:00.000,2016,311692,YAMORANSA/EGUASE,GENERAL GOODS,
2605,2,60,January,2016-01-06 00:00:00.000,2016,311693,YAMORANSA/EGUASE,Beer / Wine / Spirit Sellers,
2606,2,60,January,2016-01-06 00:00:00.000,2016,311694,YAMORANSA/EGUASE,Mobile phone dealer,
2607,2,100,January,2016-01-06 00:00:00.000,2016,311695,YAMORANSA/EGUASE,GENERAL GOODS,
2608,2,36,January,2016-01-06 00:00:00.000,2016,311696,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2609,2,3,January,2016-01-06 00:00:00.000,2016,311700,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2610,2,26,January,2016-01-06 00:00:00.000,2016,320702,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2611,2,36,January,2016-01-06 00:00:00.000,2016,320703,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2612,2,36,January,2016-01-06 00:00:00.000,2016,320704,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2613,2,36,January,2016-01-06 00:00:00.000,2016,320705,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2614,2,36,January,2016-01-06 00:00:00.000,2016,320707,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2615,2,21,January,2016-01-06 00:00:00.000,2016,320710,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2616,2,38,January,2016-01-06 00:00:00.000,2016,320711,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2617,2,36,January,2016-01-06 00:00:00.000,2016,320712,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2618,2,36,January,2016-01-06 00:00:00.000,2016,320714,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2619,2,40,January,2016-01-06 00:00:00.000,2016,320716,YAMORANSA/EGUASE,GENERAL GOODS,
2620,2,30,January,2016-01-06 00:00:00.000,2016,320717,YAMORANSA/EGUASE,GENERAL GOODS,
2621,2,20,January,2016-01-06 00:00:00.000,2016,320719,YAMORANSA/EGUASE,GENERAL GOODS,
2622,2,20,January,2016-01-06 00:00:00.000,2016,320720,YAMORANSA/EGUASE,GENERAL GOODS,
2623,2,20,January,2016-01-06 00:00:00.000,2016,320721,YAMORANSA/EGUASE,GENERAL GOODS,
2624,2,20,January,2016-01-06 00:00:00.000,2016,320722,YAMORANSA/EGUASE,GENERAL GOODS,
2625,2,5,March,2016-01-06 00:00:00.000,2016,320723,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2626,2,10,March,2016-03-09 00:00:00.000,2016,320725,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2628,2,20,March,2016-03-09 00:00:00.000,2016,320732,YAMORANSA/EGUASE,GENERAL GOODS,
2629,2,32,March,2016-03-09 00:00:00.000,2016,320729,YAMORANSA/EGUASE,GENERAL GOODS,
263,1,20,October,2016-10-27 00:00:00.000,2016,2953782,MANKESSIM,Rice/flour/sugar dealers,
2630,2,15,March,2016-03-09 00:00:00.000,2016,320733,YAMORANSA/EGUASE,GENERAL GOODS,
2631,2,10,March,2016-03-09 00:00:00.000,2016,320735,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2632,2,120,March,2016-03-09 00:00:00.000,2016,320757,YAMORANSA/EGUASE,GENERAL GOODS,
2633,2,20,March,2016-03-09 00:00:00.000,2016,320771,YAMORANSA/EGUASE,GENERAL GOODS,
2634,2,20,March,2016-03-09 00:00:00.000,2016,320772,YAMORANSA/EGUASE,GENERAL GOODS,
2635,2,70,April,2016-03-09 00:00:00.000,2016,320797,YAMORANSA/EGUASE,GENERAL GOODS,
2636,2,96,May,2016-03-09 00:00:00.000,2016,2947701,YAMORANSA/EGUASE,Corn Millers:     Cat. B - 1 Mill ,
2637,2,10,May,2016-03-09 00:00:00.000,2016,2947705,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2638,2,30,May,2016-03-09 00:00:00.000,2016,2947707,YAMORANSA/EGUASE,Beer / Wine / Spirit Sellers,
2639,2,40,May,2016-03-09 00:00:00.000,2016,2947709,YAMORANSA/EGUASE,Beer / Wine / Spirit Sellers,
2640,2,30,May,2016-03-09 00:00:00.000,2016,2947711,YAMORANSA/EGUASE,Beer / Wine / Spirit Sellers,
2641,2,50,May,2016-03-09 00:00:00.000,2016,2947712,YAMORANSA/EGUASE,Corn Millers:     Cat. B - 1 Mill ,
2642,2,60,September,2016-03-09 00:00:00.000,2016,2947734,YAMORANSA/EGUASE,GENERAL GOODS,
2643,2,20,September,2016-09-07 00:00:00.000,2016,2947739,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2644,2,50,September,2016-09-07 00:00:00.000,2016,2947741,YAMORANSA/EGUASE,GENERAL GOODS,
2645,2,60,September,2016-09-07 00:00:00.000,2016,2947742,YAMORANSA/EGUASE,GENERAL GOODS,
2646,2,60,September,2016-09-07 00:00:00.000,2016,2947743,YAMORANSA/EGUASE,GENERAL GOODS,
2647,2,100,September,2016-09-07 00:00:00.000,2016,2947744,YAMORANSA/EGUASE,GENERAL GOODS,
2648,2,36,September,2016-09-07 00:00:00.000,2016,2947745,YAMORANSA/EGUASE,Carpenters/Welders/Fitters/Mason/Tailors,
2649,2,30,September,2016-09-07 00:00:00.000,2016,2947746,YAMORANSA/EGUASE,GENERAL GOODS,
2650,2,10,September,2016-09-07 00:00:00.000,2016,2947747,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2651,2,40,September,2016-09-07 00:00:00.000,2016,2947748,YAMORANSA/EGUASE,GENERAL GOODS,
2652,2,40,September,2016-09-07 00:00:00.000,2016,2947750,YAMORANSA/EGUASE,GENERAL GOODS,
2653,2,10,September,2016-09-07 00:00:00.000,2016,2947755,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2654,2,36,September,2016-09-07 00:00:00.000,2016,2947764,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2655,2,20,October,2016-09-07 00:00:00.000,2016,2947767,YAMORANSA/EGUASE,GENERAL GOODS,
2656,2,36,October,2016-09-07 00:00:00.000,2016,2947771,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2657,2,30,October,2016-09-07 00:00:00.000,2016,2947775,YAMORANSA/EGUASE,GENERAL GOODS,
2658,2,36,October,2016-09-07 00:00:00.000,2016,2947777,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
266,1,20,October,2016-10-19 00:00:00.000,2016,2953747,MANKESSIM,Provision Store,
266,1,20,November,2016-11-18 00:00:00.000,2016,2960158,MANKESSIM,Provision Store,
2660,2,20,October,2016-09-07 00:00:00.000,2016,2947788,YAMORANSA/EGUASE,GENERAL GOODS,
2661,2,15,October,2016-09-07 00:00:00.000,2016,2947792,YAMORANSA/EGUASE,Seamstress & Hairdressers with other Facilities ,
2662,2,20,October,2016-09-07 00:00:00.000,2016,2947796,YAMORANSA/EGUASE,GENERAL GOODS,
2663,2,150,October,2016-09-07 00:00:00.000,2016,2947798,YAMORANSA/EGUASE,Chop Bar/Fast food Joint,
2664,2,60,November,2016-09-07 00:00:00.000,2016,2960003,YAMORANSA/EGUASE,Beer / Wine / Spirit Sellers,
2665,2,60,November,2016-09-07 00:00:00.000,2016,2960005,YAMORANSA/EGUASE,Provision Store,
2666,4,30,January,2016-03-24 00:00:00.000,2016,320615,SALTPOND,GENERAL GOODS,
2667,4,6,February,2016-03-24 00:00:00.000,2016,320626,SALTPOND,GENERAL GOODS,
2668,4,30,February,2016-03-24 00:00:00.000,2016,320629,SALTPOND,Fetish Priest/Priestess/Herbalist    Category C,
2669,4,15,February,2016-03-24 00:00:00.000,2016,320640,SALTPOND,GENERAL GOODS,
2670,4,36,February,2016-03-24 00:00:00.000,2016,320644,SALTPOND,Seamstress & Hairdressers with other Facilities ,
2671,4,15,February,2016-03-24 00:00:00.000,2016,320658,SALTPOND,GENERAL GOODS,
2672,4,10,February,2016-03-24 00:00:00.000,2016,320666,SALTPOND,GENERAL GOODS,
2672,4,20,February,2016-03-24 00:00:00.000,2016,320667,SALTPOND,GENERAL GOODS,
2673,4,12,February,2016-03-24 00:00:00.000,2016,320668,SALTPOND,Carpenters/Welders/Fitters/Mason/Tailors,
2674,4,30,February,2016-03-24 00:00:00.000,2016,320669,SALTPOND,Fetish Priest/Priestess/Herbalist    Category C,
2675,4,100,February,2016-03-24 00:00:00.000,2016,320673,SALTPOND,GENERAL GOODS,
2676,4,20,February,2016-03-24 00:00:00.000,2016,320680,SALTPOND,Chemical Sellers (Small),
2676,4,20,May,2016-05-16 00:00:00.000,2016,2946799,SALTPOND,Chemical Sellers (Small),
2677,4,20,March,2016-03-24 00:00:00.000,2016,325641,SALTPOND,GENERAL GOODS,
2678,4,6,March,2016-03-24 00:00:00.000,2016,325653,SALTPOND,Seamstress & Hairdressers with other Facilities ,
2679,4,10,March,2016-03-24 00:00:00.000,2016,325656,SALTPOND,GENERAL GOODS,
2680,4,60,March,2016-03-24 00:00:00.000,2016,325657,SALTPOND,Beer / Wine / Spirit Sellers,
2681,4,10,March,2016-03-24 00:00:00.000,2016,325664,SALTPOND,PETROLEUM PRODUCTS RETAILERS Re-Sellers,
2682,4,20,May,2016-03-24 00:00:00.000,2016,2946713,SALTPOND,GENERAL GOODS,
2683,4,20,May,2016-05-16 00:00:00.000,2016,2946743,SALTPOND,GENERAL GOODS,
2683,4,40,May,2016-05-16 00:00:00.000,2016,2946716,SALTPOND,GENERAL GOODS,
2684,4,20,May,2016-05-16 00:00:00.000,2016,2946719,SALTPOND,Carpenters/Welders/Fitters/Mason/Tailors,
2685,4,5,May,2016-05-16 00:00:00.000,2016,2946742,SALTPOND,GENERAL GOODS,
2686,4,20,May,2016-05-16 00:00:00.000,2016,2946753,SALTPOND,TYPIST/LETTER WRITTER,
2688,4,36,July,2016-05-16 00:00:00.000,2016,2951437,SALTPOND,Carpenters/Welders/Fitters/Mason/Tailors,
2689,4,6,July,2016-05-16 00:00:00.000,2016,2951438,SALTPOND,Seamstress & Hairdressers with other Facilities ,
2690,4,20,July,2016-05-16 00:00:00.000,2016,2951443,SALTPOND,GENERAL GOODS,
2691,4,20,July,2016-05-16 00:00:00.000,2016,2951445,SALTPOND,GENERAL GOODS,
2692,1,21,January,2016-05-06 00:00:00.000,2016,320123,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
2693,1,10,January,2016-05-06 00:00:00.000,2016,320126,MANKESSIM,Chemical Sellers (Small),
2694,1,10,January,2016-05-06 00:00:00.000,2016,320127,MANKESSIM,GENERAL GOODS,
2695,1,10,January,2016-05-06 00:00:00.000,2016,320138,MANKESSIM,FOOTWARES,
2696,1,5,January,2016-05-06 00:00:00.000,2016,320144,MANKESSIM,GENERAL GOODS,
2697,1,6,January,2016-05-06 00:00:00.000,2016,320145,MANKESSIM,GENERAL GOODS,
2698,1,6,January,2016-05-06 00:00:00.000,2016,320146,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
2699,1,6,January,2016-05-06 00:00:00.000,2016,320153,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
270,1,15,October,2016-10-06 00:00:00.000,2016,2953713,MANKESSIM,Materials,
2700,1,10,January,2016-05-06 00:00:00.000,2016,320161,MANKESSIM,GENERAL GOODS,
2701,1,10,February,2016-05-06 00:00:00.000,2016,320178,MANKESSIM,GENERAL GOODS,
2702,1,5,February,2016-05-06 00:00:00.000,2016,320188,MANKESSIM,GENERAL GOODS,
2703,1,15,September,2016-05-06 00:00:00.000,2016,2951529,MANKESSIM,Chemical Sellers (Small),
2703,1,15,September,2016-05-06 00:00:00.000,2016,2951534,MANKESSIM,Chemical Sellers (Small),
2703,1,15,October,2016-05-06 00:00:00.000,2016,2951559,MANKESSIM,Chemical Sellers (Small),
2703,1,90,March,2016-05-06 00:00:00.000,2016,325711,MANKESSIM,Chemical Sellers (Small),
2703,1,15,November,2016-11-29 00:00:00.000,2016,2955632,MANKESSIM,Chemical Sellers (Small),
2703,1,15,December,2016-12-05 00:00:00.000,2016,2955647,MANKESSIM,Chemical Sellers (Small),
2704,1,10,March,2016-05-06 00:00:00.000,2016,325717,MANKESSIM,GENERAL GOODS,
2705,1,10,March,2016-05-06 00:00:00.000,2016,325721,MANKESSIM,GENERAL GOODS,
2706,1,5,April,2016-05-06 00:00:00.000,2016,325733,MANKESSIM,GENERAL GOODS,
2707,1,6,April,2016-05-06 00:00:00.000,2016,325734,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
2708,1,5,April,2016-05-06 00:00:00.000,2016,325737,MANKESSIM,GENERAL GOODS,
2709,1,20,April,2016-05-06 00:00:00.000,2016,325742,MANKESSIM,GENERAL GOODS,
271,1,20,December,2016-12-15 00:00:00.000,2016,2960193,MANKESSIM,Materials,
2710,1,20,April,2016-05-06 00:00:00.000,2016,325743,MANKESSIM,GENERAL GOODS,
2711,1,10,April,2016-05-06 00:00:00.000,2016,325744,MANKESSIM,GENERAL GOODS,
2712,1,6,April,2016-05-06 00:00:00.000,2016,325746,MANKESSIM,GENERAL GOODS,
2713,1,10,April,2016-05-06 00:00:00.000,2016,325747,MANKESSIM,GENERAL GOODS,
2714,1,5,May,2016-05-06 00:00:00.000,2016,325759,MANKESSIM,GENERAL GOODS,
2716,1,45,May,2016-05-06 00:00:00.000,2016,325771,MANKESSIM,Chemical Sellers (Small),
2717,1,30,May,2016-05-06 00:00:00.000,2016,325778,MANKESSIM,Carpenters/Welders/Fitters/Mason/Tailors,
2718,1,12,July,2016-05-06 00:00:00.000,2016,2948630,MANKESSIM,GENERAL GOODS,
2719,1,60,July,2016-05-06 00:00:00.000,2016,2948634,MANKESSIM,GENERAL GOODS,
2720,1,5,August,2016-05-06 00:00:00.000,2016,2948669,MANKESSIM,GENERAL GOODS,
2720,1,5,August,2016-05-06 00:00:00.000,2016,2948698,MANKESSIM,GENERAL GOODS,
2720,1,5,September,2016-05-06 00:00:00.000,2016,2951514,MANKESSIM,GENERAL GOODS,
2720,1,30,July,2016-05-06 00:00:00.000,2016,2948649,MANKESSIM,GENERAL GOODS,
2721,1,15,July,2016-05-06 00:00:00.000,2016,2948652,MANKESSIM,GENERAL GOODS,
172,1,18,September,2015-09-19 00:00:00.000,2015,315001,MANKESSIM,GENERAL GOODS,
172,1,30,October,2015-10-28 00:00:00.000,2015,315740,MANKESSIM,GENERAL GOODS,
173,1,20,September,2015-09-23 00:00:00.000,2015,315003,MANKESSIM,GENERAL GOODS,
173,1,20,October,2015-10-14 00:00:00.000,2015,315091,MANKESSIM,GENERAL GOODS,
200,1,10,November,2015-11-04 00:00:00.000,2015,316701,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
313,1,40,October,2015-10-28 00:00:00.000,2015,312594,RESTAURANT/CHOP BAR/CANTEEN,Chop Bar/Fast food Joint,
319,1,10,October,2015-10-01 00:00:00.000,2015,315040,MANKESSIM,Hard-Ware ,
319,1,10,October,2015-10-07 00:00:00.000,2015,315067,MANKESSIM,Hard-Ware ,
352,1,60,November,2015-11-04 00:00:00.000,2015,315758,MANKESSIM,Hard-Ware ,
353,1,10,October,2015-10-17 00:00:00.000,2015,315702,MANKESSIM,COOKING UTENCILS,
359,1,10,September,2015-09-25 00:00:00.000,2015,313698,MANKESSIM,GENERAL GOODS,
364,1,20,October,2015-10-03 00:00:00.000,2015,315043,MANKESSIM,GENERAL GOODS,
365,1,20,October,2015-10-28 00:00:00.000,2015,315737,MANKESSIM,GENERAL GOODS,
383,1,10,September,2015-09-16 00:00:00.000,2015,313675,MANKESSIM,GENERAL GOODS,
383,1,10,September,2015-09-25 00:00:00.000,2015,313700,MANKESSIM,GENERAL GOODS,
383,1,10,October,2015-10-07 00:00:00.000,2015,315058,MANKESSIM,GENERAL GOODS,
383,1,10,October,2015-10-21 00:00:00.000,2015,315713,MANKESSIM,GENERAL GOODS,
506,1,10,September,2015-09-25 00:00:00.000,2015,313694,MANKESSIM,GENERAL GOODS,
518,1,10,September,2015-09-23 00:00:00.000,2015,315017,MANKESSIM,GENERAL GOODS,
518,1,10,November,2015-11-03 00:00:00.000,2015,315755,MANKESSIM,GENERAL GOODS,
528,1,36,October,2015-10-05 00:00:00.000,2015,312564,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
529,1,10,October,2015-10-28 00:00:00.000,2015,315742,MANKESSIM,GENERAL GOODS,
559,1,5,September,2015-09-23 00:00:00.000,2015,315024,MANKESSIM,Materials,
559,1,10,October,2015-10-14 00:00:00.000,2015,315085,MANKESSIM,Materials,
559,1,5,October,2015-10-29 00:00:00.000,2015,315754,MANKESSIM,Materials,
566,1,12,October,2015-10-13 00:00:00.000,2015,312583,RESTAURANT/CHOP BAR/CANTEEN,Large Scale Restaurants,
631,1,20,October,2015-10-01 00:00:00.000,2015,315041,MANKESSIM,GENERAL GOODS,
633,1,5,October,2015-10-24 00:00:00.000,2015,315725,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
637,1,10,September,2015-09-23 00:00:00.000,2015,315002,MANKESSIM,GENERAL GOODS,
640,1,6,September,2015-09-25 00:00:00.000,2015,313695,MANKESSIM,GENERAL GOODS,
824,1,4,September,2015-09-02 00:00:00.000,2015,312671,MANKESSIM,Seamstress & Hairdressers with other Facilities ,
825,1,10,September,2015-09-23 00:00:00.000,2015,315020,MANKESSIM,Small Spare Parts Shop,
826,1,10,August,2015-01-28 00:00:00.000,2015,312656,MANKESSIM,Kente Weaver/Electricians/Wireless/tv repaires,
984,1,20,August,2015-08-31 00:00:00.000,2015,312521,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
994,1,6,September,2015-01-28 00:00:00.000,2015,312662,MANKESSIM,Pure Water Distributors ,
1405,1,6,October,2015-10-02 00:00:00.000,2015,314254,MANKESSIM,TV & Electrical Appliance (Lawyer Enchil & Kama et,
1496,3,50,November,2015-11-18 00:00:00.000,2015,314947,ANOMABO,Chemical Sellers (Small),
1497,3,30,October,2015-10-15 00:00:00.000,2015,314917,ANOMABO,Beer / Wine / Spirit Sellers,
1503,3,50,October,2015-10-23 00:00:00.000,2015,314925,ANOMABO,GENERAL GOODS,
1504,3,18,September,2015-09-29 00:00:00.000,2015,314904,ANOMABO,GENERAL GOODS,
1505,3,20,November,2015-11-13 00:00:00.000,2015,314943,ANOMABO,GENERAL GOODS,
1521,3,10,December,2015-12-09 00:00:00.000,2015,314969,ANOMABO,Seamstress & Hairdressers with other Facilities ,
1523,3,20,December,2015-12-21 00:00:00.000,2015,314980,ANOMABO,Provision Store,
1527,3,20,September,2015-09-29 00:00:00.000,2015,314903,ANOMABO,Seamstress & Hairdressers with other Facilities ,
1527,3,16,November,2015-10-29 00:00:00.000,2015,314937,ANOMABO,Seamstress & Hairdressers with other Facilities ,
287,3,50,October,2015-10-29 00:00:00.000,2015,314928,ANOMABO,Provision Store,
290,3,40,October,2015-10-09 00:00:00.000,2015,314912,ANOMABO,TV & Electrical Appliance (Lawyer Enchil & Kama et,
296,3,30,October,2015-10-23 00:00:00.000,2015,314924,ANOMABO,Beer / Wine / Spirit Sellers,
3,3,50,December,2015-12-29 00:00:00.000,2015,314987,ANOMABO,Provision Store,
304,3,40,November,2015-11-25 00:00:00.000,2015,314960,ANOMABO,Provision Store,
427,3,60,November,2015-11-25 00:00:00.000,2015,314961,ANOMABO,Beer / Wine / Spirit Sellers,
438,3,40,October,2015-10-29 00:00:00.000,2015,314934,ANOMABO,Provision Store,
442,2,30,November,2015-11-16 00:00:00.000,2015,314945,ANOMABO,Provision Store,
448,2,40,November,2015-11-18 00:00:00.000,2015,314948,ANOMABO,Provision Store,
765,2,40,October,2015-10-09 00:00:00.000,2015,314911,YAMORANSA/EGUASE,Provision Store,
768,3,15,November,2015-11-13 00:00:00.000,2015,314944,ANOMABO,Seamstress & Hairdressers with other Facilities ,
770,3,24,October,2015-10-15 00:00:00.000,2015,314918,ANOMABO,Beer / Wine / Spirit Sellers,
900,3,16,November,2015-11-25 00:00:00.000,2015,314962,ANOMABO,Canopy/Chairs Hiring,
