buss_no,receiptno,description,transdate,amount
1238,318700,PAYMENT RECEIPT,2015-12-30 00:00:00.000,18
1243,318697,PAYMENT RECEIPT,2015-12-30 00:00:00.000,12
1249,308434,PAYMENT RECEIPT,2015-06-08 00:00:00.000,5
1244,318698,PAYMENT RECEIPT,2015-12-30 00:00:00.000,12
1249,318627,PAYMENT RECEIPT,2015-11-20 00:00:00.000,10
1253,308547,PAYMENT RECEIPT,2015-07-01 00:00:00.000,100
1253,312566,PAYMENT RECEIPT,2015-07-07 00:00:00.000,100
1256,318615,PAYMENT RECEIPT,2015-11-20 00:00:00.000,5
1256,318624,PAYMENT RECEIPT,2015-11-20 00:00:00.000,5
1256,316679,PAYMENT RECEIPT,2015-11-27 00:00:00.000,6
1256,316687,PAYMENT RECEIPT,2015-11-27 00:00:00.000,6
1256,316698,PAYMENT RECEIPT,2015-11-27 00:00:00.000,6
1260,316696,PAYMENT RECEIPT,2015-11-27 00:00:00.000,20
1262,316751,PAYMENT RECEIPT,2015-12-09 00:00:00.000,30
1266,318665,PAYMENT RECEIPT,2015-12-29 00:00:00.000,3
1268,316682,PAYMENT RECEIPT,2015-11-27 00:00:00.000,30
1269,316686,PAYMENT RECEIPT,2015-11-27 00:00:00.000,50
1269,318670,PAYMENT RECEIPT,2015-12-29 00:00:00.000,80
1275,315045,PAYMENT RECEIPT,2015-10-05 00:00:00.000,6
1276,318641,PAYMENT RECEIPT,2015-12-16 00:00:00.000,10
1276,318677,PAYMENT RECEIPT,2015-12-29 00:00:00.000,6
1277,318636,PAYMENT RECEIPT,2015-12-16 00:00:00.000,60
1287,318618,PAYMENT RECEIPT,2015-11-20 00:00:00.000,18
1289,318678,PAYMENT RECEIPT,2015-12-29 00:00:00.000,43
129,316736,PAYMENT RECEIPT,2015-12-02 00:00:00.000,48
1290,316667,PAYMENT RECEIPT,2015-11-20 00:00:00.000,20
1293,308437,PAYMENT RECEIPT,2015-06-08 00:00:00.000,10
1294,316646,PAYMENT RECEIPT,2015-11-12 00:00:00.000,10
1294,318611,PAYMENT RECEIPT,2015-11-20 00:00:00.000,20
1296,316609,PAYMENT RECEIPT,2015-10-02 00:00:00.000,20
1296,314256,PAYMENT RECEIPT,2015-10-02 00:00:00.000,30
1296,318610,PAYMENT RECEIPT,2015-11-20 00:00:00.000,220
1296,317451,PAYMENT RECEIPT,2015-11-21 00:00:00.000,10
1297,316648,PAYMENT RECEIPT,2015-11-12 00:00:00.000,6
1297,318654,PAYMENT RECEIPT,2015-12-29 00:00:00.000,6
1297,318688,PAYMENT RECEIPT,2015-12-30 00:00:00.000,5
1297,318692,PAYMENT RECEIPT,2015-12-30 00:00:00.000,6
13,308756,PAYMENT RECEIPT,2015-07-09 00:00:00.000,40
13,319693,PAYMENT RECEIPT,2015-12-31 00:00:00.000,10
130,316769,PAYMENT RECEIPT,2015-12-16 00:00:00.000,5
130,316768,PAYMENT RECEIPT,2015-12-16 00:00:00.000,12
130,316761,PAYMENT RECEIPT,2015-12-16 00:00:00.000,42
130,316796,PAYMENT RECEIPT,2015-12-30 00:00:00.000,10
1300,316671,PAYMENT RECEIPT,2015-11-20 00:00:00.000,20
1300,318602,PAYMENT RECEIPT,2015-12-04 00:00:00.000,20
1300,318655,PAYMENT RECEIPT,2015-12-29 00:00:00.000,30
1302,316786,PAYMENT RECEIPT,2015-12-16 00:00:00.000,24
131,316779,PAYMENT RECEIPT,2015-12-16 00:00:00.000,6
131,316760,PAYMENT RECEIPT,2015-12-16 00:00:00.000,12
131,316780,PAYMENT RECEIPT,2015-12-16 00:00:00.000,12
131,316798,PAYMENT RECEIPT,2015-12-30 00:00:00.000,6
131,321209,PAYMENT RECEIPT,2015-12-30 00:00:00.000,6
132,316764,PAYMENT RECEIPT,2015-12-16 00:00:00.000,12
1325,318689,PAYMENT RECEIPT,2015-12-30 00:00:00.000,5
1331,316670,PAYMENT RECEIPT,2015-11-20 00:00:00.000,10
2258,2961073,PAYMENT RECEIPT,2016-12-21 00:00:00.000,21
2259,2954235,PAYMENT RECEIPT,2016-10-26 00:00:00.000,21
2259,2961074,PAYMENT RECEIPT,2016-12-21 00:00:00.000,21
2262,2954263,PAYMENT RECEIPT,2016-11-01 00:00:00.000,12
2262,2954265,PAYMENT RECEIPT,2016-11-02 00:00:00.000,10
2262,2961094,PAYMENT RECEIPT,2016-12-22 00:00:00.000,10
2266,2955759,PAYMENT RECEIPT,2016-11-19 00:00:00.000,10
2267,2955728,PAYMENT RECEIPT,2016-11-10 00:00:00.000,10
2269,2950510,PAYMENT RECEIPT,2016-07-29 00:00:00.000,50
2269,2955777,PAYMENT RECEIPT,2016-11-25 00:00:00.000,12
2269,2961089,PAYMENT RECEIPT,2016-12-22 00:00:00.000,7
227,2955656,PAYMENT RECEIPT,2016-12-19 00:00:00.000,16
2280,2954259,PAYMENT RECEIPT,2016-11-01 00:00:00.000,14
2280,2961084,PAYMENT RECEIPT,2016-12-21 00:00:00.000,15
2289,2955703,PAYMENT RECEIPT,2016-11-09 00:00:00.000,10
2291,2953825,PAYMENT RECEIPT,2016-09-21 00:00:00.000,24
2291,2954230,PAYMENT RECEIPT,2016-10-26 00:00:00.000,10
2291,2955742,PAYMENT RECEIPT,2016-11-16 00:00:00.000,10
2294,2961081,PAYMENT RECEIPT,2016-12-21 00:00:00.000,17
2298,2955758,PAYMENT RECEIPT,2016-11-19 00:00:00.000,10
2298,2961008,PAYMENT RECEIPT,2016-12-10 00:00:00.000,10
2298,2961009,PAYMENT RECEIPT,2016-12-10 00:00:00.000,10
2299,2955793,PAYMENT RECEIPT,2016-11-25 00:00:00.000,20
2300,2955743,PAYMENT RECEIPT,2016-11-16 00:00:00.000,10
2300,2961090,PAYMENT RECEIPT,2016-12-22 00:00:00.000,14
231,2951587,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
231,2955642,PAYMENT RECEIPT,2016-12-05 00:00:00.000,30
237,2960156,PAYMENT RECEIPT,2016-11-18 00:00:00.000,10
237,2957102,PAYMENT RECEIPT,2016-12-23 00:00:00.000,10
238,2953723,PAYMENT RECEIPT,2016-10-06 00:00:00.000,6
238,2960189,PAYMENT RECEIPT,2016-12-15 00:00:00.000,8
239,2957133,PAYMENT RECEIPT,2016-12-30 00:00:00.000,7
241,2960196,PAYMENT RECEIPT,2016-12-15 00:00:00.000,10
244,2953847,PAYMENT RECEIPT,2016-11-02 00:00:00.000,10
244,2953865,PAYMENT RECEIPT,2016-11-15 00:00:00.000,10
248,2953740,PAYMENT RECEIPT,2016-10-19 00:00:00.000,10
248,2960101,PAYMENT RECEIPT,2016-11-11 00:00:00.000,10
248,2960163,PAYMENT RECEIPT,2016-12-01 00:00:00.000,10
248,2957122,PAYMENT RECEIPT,2016-12-30 00:00:00.000,10
2503,2950516,PAYMENT RECEIPT,2016-07-29 00:00:00.000,16
252,2953735,PAYMENT RECEIPT,2016-10-06 00:00:00.000,6
255,2953714,PAYMENT RECEIPT,2016-10-06 00:00:00.000,6
256,2953712,PAYMENT RECEIPT,2016-10-06 00:00:00.000,6
256,2953763,PAYMENT RECEIPT,2016-10-21 00:00:00.000,6
256,2953786,PAYMENT RECEIPT,2016-11-03 00:00:00.000,6
257,2960149,PAYMENT RECEIPT,2016-11-18 00:00:00.000,6
257,2957139,PAYMENT RECEIPT,2016-12-30 00:00:00.000,12
258,2960150,PAYMENT RECEIPT,2015-01-31 00:00:00.000,10
258,2953706,PAYMENT RECEIPT,2016-10-06 00:00:00.000,10
259,2951600,PAYMENT RECEIPT,2016-11-02 00:00:00.000,30
259,2955639,PAYMENT RECEIPT,2016-12-05 00:00:00.000,15
2599,311681,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
260,2953734,PAYMENT RECEIPT,2016-10-06 00:00:00.000,12
260,2957109,PAYMENT RECEIPT,2016-12-23 00:00:00.000,6
2600,311682,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
2601,311685,PAYMENT RECEIPT,2016-01-06 00:00:00.000,60
2602,311686,PAYMENT RECEIPT,2016-01-06 00:00:00.000,180
2603,311687,PAYMENT RECEIPT,2016-01-06 00:00:00.000,100
2604,311692,PAYMENT RECEIPT,2016-01-06 00:00:00.000,56
2605,311693,PAYMENT RECEIPT,2016-01-06 00:00:00.000,60
2606,311694,PAYMENT RECEIPT,2016-01-06 00:00:00.000,60
2607,311695,PAYMENT RECEIPT,2016-01-06 00:00:00.000,100
2608,311696,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2609,311700,PAYMENT RECEIPT,2016-01-06 00:00:00.000,3
2610,320702,PAYMENT RECEIPT,2016-01-06 00:00:00.000,26
2611,320703,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2612,320704,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2613,320705,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2614,320707,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2615,320710,PAYMENT RECEIPT,2016-01-06 00:00:00.000,21
2616,320711,PAYMENT RECEIPT,2016-01-06 00:00:00.000,38
2617,320712,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2618,320714,PAYMENT RECEIPT,2016-01-06 00:00:00.000,36
2619,320716,PAYMENT RECEIPT,2016-01-06 00:00:00.000,40
2620,320717,PAYMENT RECEIPT,2016-01-06 00:00:00.000,30
2621,320719,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
2622,320720,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
2623,320721,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
2624,320722,PAYMENT RECEIPT,2016-01-06 00:00:00.000,20
2625,320723,PAYMENT RECEIPT,2016-01-06 00:00:00.000,5
2626,320725,PAYMENT RECEIPT,2016-03-09 00:00:00.000,10
2628,320732,PAYMENT RECEIPT,2016-03-09 00:00:00.000,20
2629,320729,PAYMENT RECEIPT,2016-03-09 00:00:00.000,32
263,2953782,PAYMENT RECEIPT,2016-10-27 00:00:00.000,20
2630,320733,PAYMENT RECEIPT,2016-03-09 00:00:00.000,15
2631,320735,PAYMENT RECEIPT,2016-03-09 00:00:00.000,10
2632,320757,PAYMENT RECEIPT,2016-03-09 00:00:00.000,120
2633,320771,PAYMENT RECEIPT,2016-03-09 00:00:00.000,20
2634,320772,PAYMENT RECEIPT,2016-03-09 00:00:00.000,20
2635,320797,PAYMENT RECEIPT,2016-03-09 00:00:00.000,70
2636,2947701,PAYMENT RECEIPT,2016-03-09 00:00:00.000,96
2637,2947705,PAYMENT RECEIPT,2016-03-09 00:00:00.000,10
2638,2947707,PAYMENT RECEIPT,2016-03-09 00:00:00.000,30
2639,2947709,PAYMENT RECEIPT,2016-03-09 00:00:00.000,40
2640,2947711,PAYMENT RECEIPT,2016-03-09 00:00:00.000,30
2641,2947712,PAYMENT RECEIPT,2016-03-09 00:00:00.000,50
2642,2947734,PAYMENT RECEIPT,2016-03-09 00:00:00.000,60
2643,2947739,PAYMENT RECEIPT,2016-09-07 00:00:00.000,20
2644,2947741,PAYMENT RECEIPT,2016-09-07 00:00:00.000,50
2645,2947742,PAYMENT RECEIPT,2016-09-07 00:00:00.000,60
2646,2947743,PAYMENT RECEIPT,2016-09-07 00:00:00.000,60
2647,2947744,PAYMENT RECEIPT,2016-09-07 00:00:00.000,100
2648,2947745,PAYMENT RECEIPT,2016-09-07 00:00:00.000,36
2649,2947746,PAYMENT RECEIPT,2016-09-07 00:00:00.000,30
2650,2947747,PAYMENT RECEIPT,2016-09-07 00:00:00.000,10
2651,2947748,PAYMENT RECEIPT,2016-09-07 00:00:00.000,40
2652,2947750,PAYMENT RECEIPT,2016-09-07 00:00:00.000,40
2653,2947755,PAYMENT RECEIPT,2016-09-07 00:00:00.000,10
2654,2947764,PAYMENT RECEIPT,2016-09-07 00:00:00.000,36
2655,2947767,PAYMENT RECEIPT,2016-09-07 00:00:00.000,20
2656,2947771,PAYMENT RECEIPT,2016-09-07 00:00:00.000,36
2657,2947775,PAYMENT RECEIPT,2016-09-07 00:00:00.000,30
2658,2947777,PAYMENT RECEIPT,2016-09-07 00:00:00.000,36
266,2953747,PAYMENT RECEIPT,2016-10-19 00:00:00.000,20
266,2960158,PAYMENT RECEIPT,2016-11-18 00:00:00.000,20
2660,2947788,PAYMENT RECEIPT,2016-09-07 00:00:00.000,20
2661,2947792,PAYMENT RECEIPT,2016-09-07 00:00:00.000,15
2662,2947796,PAYMENT RECEIPT,2016-09-07 00:00:00.000,20
2663,2947798,PAYMENT RECEIPT,2016-09-07 00:00:00.000,150
2664,2960003,PAYMENT RECEIPT,2016-09-07 00:00:00.000,60
2665,2960005,PAYMENT RECEIPT,2016-09-07 00:00:00.000,60
2666,320615,PAYMENT RECEIPT,2016-03-24 00:00:00.000,30
2667,320626,PAYMENT RECEIPT,2016-03-24 00:00:00.000,6
2668,320629,PAYMENT RECEIPT,2016-03-24 00:00:00.000,30
2669,320640,PAYMENT RECEIPT,2016-03-24 00:00:00.000,15
2670,320644,PAYMENT RECEIPT,2016-03-24 00:00:00.000,36
2671,320658,PAYMENT RECEIPT,2016-03-24 00:00:00.000,15
2672,320666,PAYMENT RECEIPT,2016-03-24 00:00:00.000,10
2672,320667,PAYMENT RECEIPT,2016-03-24 00:00:00.000,20
2673,320668,PAYMENT RECEIPT,2016-03-24 00:00:00.000,12
2674,320669,PAYMENT RECEIPT,2016-03-24 00:00:00.000,30
2675,320673,PAYMENT RECEIPT,2016-03-24 00:00:00.000,100
2676,320680,PAYMENT RECEIPT,2016-03-24 00:00:00.000,20
2676,2946799,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2677,325641,PAYMENT RECEIPT,2016-03-24 00:00:00.000,20
2678,325653,PAYMENT RECEIPT,2016-03-24 00:00:00.000,6
2679,325656,PAYMENT RECEIPT,2016-03-24 00:00:00.000,10
2680,325657,PAYMENT RECEIPT,2016-03-24 00:00:00.000,60
2681,325664,PAYMENT RECEIPT,2016-03-24 00:00:00.000,10
2682,2946713,PAYMENT RECEIPT,2016-03-24 00:00:00.000,20
2683,2946743,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2683,2946716,PAYMENT RECEIPT,2016-05-16 00:00:00.000,40
2684,2946719,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2685,2946742,PAYMENT RECEIPT,2016-05-16 00:00:00.000,5
2686,2946753,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2688,2951437,PAYMENT RECEIPT,2016-05-16 00:00:00.000,36
2689,2951438,PAYMENT RECEIPT,2016-05-16 00:00:00.000,6
2690,2951443,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2691,2951445,PAYMENT RECEIPT,2016-05-16 00:00:00.000,20
2692,320123,PAYMENT RECEIPT,2016-05-06 00:00:00.000,21
2693,320126,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2694,320127,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2695,320138,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2696,320144,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2697,320145,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2698,320146,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2699,320153,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
270,2953713,PAYMENT RECEIPT,2016-10-06 00:00:00.000,15
2700,320161,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2701,320178,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2702,320188,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2703,2951529,PAYMENT RECEIPT,2016-05-06 00:00:00.000,15
2703,2951534,PAYMENT RECEIPT,2016-05-06 00:00:00.000,15
2703,2951559,PAYMENT RECEIPT,2016-05-06 00:00:00.000,15
2703,325711,PAYMENT RECEIPT,2016-05-06 00:00:00.000,90
2703,2955632,PAYMENT RECEIPT,2016-11-29 00:00:00.000,15
2703,2955647,PAYMENT RECEIPT,2016-12-05 00:00:00.000,15
2704,325717,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2705,325721,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2706,325733,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2707,325734,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2708,325737,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2709,325742,PAYMENT RECEIPT,2016-05-06 00:00:00.000,20
271,2960193,PAYMENT RECEIPT,2016-12-15 00:00:00.000,20
2710,325743,PAYMENT RECEIPT,2016-05-06 00:00:00.000,20
2711,325744,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2712,325746,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2713,325747,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2714,325759,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2716,325771,PAYMENT RECEIPT,2016-05-06 00:00:00.000,45
2717,325778,PAYMENT RECEIPT,2016-05-06 00:00:00.000,30
2718,2948630,PAYMENT RECEIPT,2016-05-06 00:00:00.000,12
2719,2948634,PAYMENT RECEIPT,2016-05-06 00:00:00.000,60
2720,2948669,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2720,2948698,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2720,2951514,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2720,2948649,PAYMENT RECEIPT,2016-05-06 00:00:00.000,30
2721,2948652,PAYMENT RECEIPT,2016-05-06 00:00:00.000,15
2722,2948673,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2723,2948688,PAYMENT RECEIPT,2016-05-06 00:00:00.000,5
2724,2951519,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2724,2951592,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
2725,2951547,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2725,2951576,PAYMENT RECEIPT,2016-10-11 00:00:00.000,10
2725,2951597,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
2726,2951549,PAYMENT RECEIPT,2016-05-06 00:00:00.000,20
2727,323102,PAYMENT RECEIPT,2016-02-05 00:00:00.000,6
2728,323131,PAYMENT RECEIPT,2016-02-05 00:00:00.000,10
2728,2960184,PAYMENT RECEIPT,2016-12-15 00:00:00.000,6
2728,2957135,PAYMENT RECEIPT,2016-12-30 00:00:00.000,9
2729,323141,PAYMENT RECEIPT,2016-02-05 00:00:00.000,18
2729,2950447,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2729,326069,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2729,2953711,PAYMENT RECEIPT,2016-10-06 00:00:00.000,24
273,2953758,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
273,2953762,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
273,2953779,PAYMENT RECEIPT,2016-10-27 00:00:00.000,10
273,2960116,PAYMENT RECEIPT,2016-11-11 00:00:00.000,10
273,2957129,PAYMENT RECEIPT,2016-12-30 00:00:00.000,6
2730,323146,PAYMENT RECEIPT,2016-02-05 00:00:00.000,6
2731,323151,PAYMENT RECEIPT,2016-02-05 00:00:00.000,10
2731,2950446,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2731,321151,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,323170,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,326040,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,326079,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,326081,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,2946818,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,2946819,PAYMENT RECEIPT,2016-05-06 00:00:00.000,10
2731,2960128,PAYMENT RECEIPT,2016-11-18 00:00:00.000,6
2732,323155,PAYMENT RECEIPT,2016-02-05 00:00:00.000,7
2732,326027,PAYMENT RECEIPT,2016-05-06 00:00:00.000,6
2732,323177,PAYMENT RECEIPT,2016-05-06 00:00:00.000,7
2732,2950402,PAYMENT RECEIPT,2016-05-06 00:00:00.000,14
2733,323158,PAYMENT RECEIPT,2016-02-25 00:00:00.000,14
2734,323163,PAYMENT RECEIPT,2016-02-25 00:00:00.000,6
2735,323164,PAYMENT RECEIPT,2016-02-25 00:00:00.000,7
2735,2948885,PAYMENT RECEIPT,2016-03-31 00:00:00.000,4
2735,326080,PAYMENT RECEIPT,2016-03-31 00:00:00.000,7
2735,2948803,PAYMENT RECEIPT,2016-03-31 00:00:00.000,7
2735,2951750,PAYMENT RECEIPT,2016-03-31 00:00:00.000,7
2735,2953777,PAYMENT RECEIPT,2016-10-27 00:00:00.000,14
2736,323182,PAYMENT RECEIPT,2016-03-03 00:00:00.000,10
2736,2946849,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2737,323188,PAYMENT RECEIPT,2016-03-03 00:00:00.000,20
2737,326054,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2737,2948882,PAYMENT RECEIPT,2016-05-06 00:00:00.000,12
2737,2953764,PAYMENT RECEIPT,2016-10-21 00:00:00.000,10
2737,2960141,PAYMENT RECEIPT,2016-11-18 00:00:00.000,12
2738,323199,PAYMENT RECEIPT,2016-03-10 00:00:00.000,6
274,2960130,PAYMENT RECEIPT,2016-11-18 00:00:00.000,10
274,2960182,PAYMENT RECEIPT,2016-12-01 00:00:00.000,10
274,2960180,PAYMENT RECEIPT,2016-12-01 00:00:00.000,30
274,2957116,PAYMENT RECEIPT,2016-12-23 00:00:00.000,14
2740,326015,PAYMENT RECEIPT,2016-03-16 00:00:00.000,10
2741,326016,PAYMENT RECEIPT,2016-03-16 00:00:00.000,9
2741,2950405,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2742,2960171,PAYMENT RECEIPT,2016-12-01 00:00:00.000,10
2743,326025,PAYMENT RECEIPT,2016-03-16 00:00:00.000,20
2743,326068,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2743,2946803,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2744,326038,PAYMENT RECEIPT,2016-05-06 00:00:00.000,8
2745,326045,PAYMENT RECEIPT,2016-03-31 00:00:00.000,50
2746,2950419,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2746,326064,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2747,326065,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2748,326084,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2749,326088,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2749,2960138,PAYMENT RECEIPT,2016-11-18 00:00:00.000,10
2750,2948849,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2750,2950490,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2750,326094,PAYMENT RECEIPT,2016-03-31 00:00:00.000,12
2751,326096,PAYMENT RECEIPT,2016-03-31 00:00:00.000,20
2751,2960102,PAYMENT RECEIPT,2016-11-11 00:00:00.000,10
2753,2948815,PAYMENT RECEIPT,2016-03-31 00:00:00.000,10
2753,2951783,PAYMENT RECEIPT,2016-03-31 00:00:00.000,42
2754,2948834,PAYMENT RECEIPT,2016-03-31 00:00:00.000,5
2754,2951755,PAYMENT RECEIPT,2016-03-31 00:00:00.000,14
2754,2953748,PAYMENT RECEIPT,2016-10-19 00:00:00.000,14
2755,2948835,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2756,2950484,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2756,2951766,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2756,2957114,PAYMENT RECEIPT,2016-12-23 00:00:00.000,6
2756,2957121,PAYMENT RECEIPT,2016-12-30 00:00:00.000,6
2757,2950500,PAYMENT RECEIPT,2016-03-31 00:00:00.000,6
2758,322434,PAYMENT RECEIPT,2016-03-03 00:00:00.000,10
2759,322446,PAYMENT RECEIPT,2016-03-03 00:00:00.000,10
2760,322451,PAYMENT RECEIPT,2016-03-03 00:00:00.000,6
2760,2956506,PAYMENT RECEIPT,2016-12-19 00:00:00.000,5
2761,322452,PAYMENT RECEIPT,2016-03-03 00:00:00.000,5
2762,322455,PAYMENT RECEIPT,2016-04-01 00:00:00.000,15
2763,322456,PAYMENT RECEIPT,2016-04-01 00:00:00.000,20
2764,322457,PAYMENT RECEIPT,2016-04-01 00:00:00.000,15
2765,322460,PAYMENT RECEIPT,2016-04-01 00:00:00.000,6
2766,322461,PAYMENT RECEIPT,2016-04-01 00:00:00.000,10
2767,322462,PAYMENT RECEIPT,2016-04-06 00:00:00.000,12
2767,2953889,PAYMENT RECEIPT,2016-11-23 00:00:00.000,8
2768,322464,PAYMENT RECEIPT,2016-04-06 00:00:00.000,18
2769,322465,PAYMENT RECEIPT,2016-04-06 00:00:00.000,5
2769,2950766,PAYMENT RECEIPT,2016-09-21 00:00:00.000,6
277,2953770,PAYMENT RECEIPT,2016-10-27 00:00:00.000,6
277,2960159,PAYMENT RECEIPT,2016-11-18 00:00:00.000,6
277,2960181,PAYMENT RECEIPT,2016-12-01 00:00:00.000,10
2770,322474,PAYMENT RECEIPT,2016-04-06 00:00:00.000,40
2771,2950710,PAYMENT RECEIPT,2015-08-17 00:00:00.000,20
2771,322476,PAYMENT RECEIPT,2016-04-06 00:00:00.000,20
2771,2953845,PAYMENT RECEIPT,2016-11-02 00:00:00.000,20
2772,322482,PAYMENT RECEIPT,2016-04-06 00:00:00.000,10
2772,2953705,PAYMENT RECEIPT,2016-10-06 00:00:00.000,6
2773,322489,PAYMENT RECEIPT,2016-04-06 00:00:00.000,30
2774,2947501,PAYMENT RECEIPT,2016-05-13 00:00:00.000,5
2775,2947506,PAYMENT RECEIPT,2016-05-13 00:00:00.000,6
2776,2947511,PAYMENT RECEIPT,2016-05-13 00:00:00.000,5
2777,2947514,PAYMENT RECEIPT,2016-05-30 00:00:00.000,20
2778,2947515,PAYMENT RECEIPT,2016-05-30 00:00:00.000,10
2778,2956528,PAYMENT RECEIPT,2016-12-28 00:00:00.000,10
2779,2947516,PAYMENT RECEIPT,2016-05-30 00:00:00.000,12
2780,2947517,PAYMENT RECEIPT,2016-05-30 00:00:00.000,12
2781,2947519,PAYMENT RECEIPT,2016-05-30 00:00:00.000,5
2781,2956515,PAYMENT RECEIPT,2016-12-22 00:00:00.000,6
2782,2947526,PAYMENT RECEIPT,2016-06-03 00:00:00.000,6
2783,2947527,PAYMENT RECEIPT,2016-06-06 00:00:00.000,10
2783,2947531,PAYMENT RECEIPT,2016-06-08 00:00:00.000,10
2784,2947532,PAYMENT RECEIPT,2016-06-08 00:00:00.000,10
2784,2953833,PAYMENT RECEIPT,2016-09-21 00:00:00.000,16
2784,2953823,PAYMENT RECEIPT,2016-09-21 00:00:00.000,20
2785,2947533,PAYMENT RECEIPT,2016-06-08 00:00:00.000,10
2785,2950760,PAYMENT RECEIPT,2016-09-21 00:00:00.000,10
2785,2953866,PAYMENT RECEIPT,2016-11-15 00:00:00.000,10
2786,2947535,PAYMENT RECEIPT,2016-06-08 00:00:00.000,10
2787,2947548,PAYMENT RECEIPT,2016-06-08 00:00:00.000,18
2787,2953896,PAYMENT RECEIPT,2016-12-01 00:00:00.000,6
2788,2947556,PAYMENT RECEIPT,2016-06-08 00:00:00.000,5
2789,2947561,PAYMENT RECEIPT,2016-06-08 00:00:00.000,10
2790,2947565,PAYMENT RECEIPT,2016-06-08 00:00:00.000,5
2791,2947591,PAYMENT RECEIPT,2016-07-29 00:00:00.000,20
2792,2947596,PAYMENT RECEIPT,2015-01-31 00:00:00.000,40
2793,2947597,PAYMENT RECEIPT,2015-08-03 00:00:00.000,5
2794,2950705,PAYMENT RECEIPT,2015-08-03 00:00:00.000,40
